[ESTRUCTURA]
[INFO]
1,1
[META]
[/META]
[REJILLA]
20,12,32,32,8,8,0
[CELDAS]
2,0,1 3,0,1 4,0,1 5,0,1 6,0,1 7,0,1 8,0,1 12,0,1 13,0,1 14,0,1 15,0,1 16,0,1 17,0,1 18,0,1 1,1,1 9,1,1 11,1,1 19,1,1 1,2,1 9,2,1 11,2,1 19,2,1 1,3,1 9,3,1 11,3,1 19,3,1 1,4,1 2,4,1 3,4,1 4,4,1 5,4,1 9,4,1 11,4,1 19,4,1 4,5,1 9,5,1 10,5,1 11,5,1 19,5,1 3,6,1 19,6,1 0,7,1 1,7,1 2,7,1 19,7,1 12,8,1 13,8,1 14,8,1 15,8,1 16,8,1 17,8,1 18,8,1 11,9,1 10,10,1 0,11,1 1,11,1 2,11,1 3,11,1 4,11,1 5,11,1 6,11,1 7,11,1 8,11,1 9,11,1
[LOGICA]
0
[OBJETOS]
2,128,96
1,0,288,8
30,320,224,30
10,448,224,15
10,512,224,15
11,448,160,10
11,512,160,10
11,512,96,10
11,448,96,10
11,448,32,10
11,512,32,10
[/ESTRUCTURA]
